id,contrast,hpr,population,median,ci_lo,ci_hi,pr_dir
HD1,Utility (SH-NE),30,All units,-0.230536836401219,-0.5295454389632368,0.03518041528140934,0.9526666666666667
HH1,Entropy (SH-NE),30,All units,0.2435009302406379,-0.018927904009252563,0.5021970759627704,0.9586666666666667
HH2,Entropy (SH-NE),45,All units,0.08755161050569082,-0.12895224065965408,0.31615330496644345,0.7866666666666666
HH3,Entropy (SH-NE),60,All units,-0.01085249038728442,-0.14858345828765035,0.12769316628582655,0.4226666666666667
HH4,Entropy (SH-NE),75,All units,0.06104626168817617,-0.09748392751119561,0.1975720510305887,0.772
HH5,Entropy (SH-NE),90,All units,0.028794345188438264,-0.08934290191013994,0.16170280111617727,0.712
HF1,Mean FR (SH-NE),30,All units,0.09465298137098715,-0.019168905672408455,0.22795919860829467,0.946
HF2,Mean FR (SH-NE),45,All units,0.014280199583943429,-0.08336236866828291,0.11663533535049112,0.605
HF3,Mean FR (SH-NE),60,All units,-0.025022012152893652,-0.1414888852576664,0.08821027785651188,0.3396666666666667
HF4,Mean FR (SH-NE),75,All units,-0.06090289856360573,-0.17005502622196736,0.05754659416359692,0.16733333333333333
HF5,Mean FR (SH-NE),90,All units,-0.03845876969906897,-0.12217663403620327,0.000711033216069241,0.8236666666666667
TX1,Utility transition 30->45,45,All units,0.2134751500257484,-0.027330908355253803,0.4458685989449785,0.961
TX2,Utility transition 30->60,60,All units,0.2935963453522284,-0.050630207914047425,0.6277916183691354,0.953
TX3,Utility transition 30->75,75,All units,0.25063242426675236,-0.04610769146786315,0.60063462117292,0.942
TX4,Utility transition 30->90,90,All units,0.20655357935224236,-0.08912542025573122,0.5825646529845967,0.909
HE1,Utility (SH-NE),30,Low-threshold,-0.22486779402867518,-0.5078254185551292,0.03093682433235644,0.956
HE2,Utility (SH-NE),45,Low-threshold,-0.03308846024571538,-0.21012942602714257,0.1476945468497596,0.6436666666666667
HE3,Utility (SH-NE),60,Low-threshold,0.05869394167392779,-0.11953011735444424,0.2352329699601158,0.24766666666666667
HE4,Utility (SH-NE),75,Low-threshold,-0.08038565748498813,-0.21134694222147282,0.08815040777440991,0.8323333333333334
HE6,Utility (SH-NE),90,Low-threshold,-0.07922993183135266,-0.24671374310523658,0.13069330582022462,0.7646666666666667
S1,Utility (SH-NE),30,High-threshold,-0.04693850489887419,-0.29436019112651457,0.13984036520398369,0.6403333333333333
S2,Utility (SH-NE),45,High-threshold,0.01811618401721149,-0.15280589888164117,0.14877883081869545,0.36133333333333334
S3,Utility (SH-NE),60,High-threshold,0.013941291348497864,-0.17661839812781294,0.19681418173634302,0.4266666666666667
S4,Utility (SH-NE),75,High-threshold,0.03526501914529073,-0.12224666824785704,0.20133831559201062,0.292
S5,Utility (SH-NE),90,High-threshold,0.1446347600876629,-0.09397857423412187,0.39133732586394077,0.8733333333333333
HE5,Degree of divergence,60,Stratified,0.04815215569339515,-0.2070642365333657,0.30281292446167773,0.644
